,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,110年01月01日至110年03月31日,109年01月01日至109年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
,Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
0,營業活動之現金流量－間接法,,,,,,
1,繼續營業單位稅前淨利（淨損）,155064389.0,132147178.0,,,,
2,本期稅前淨利（淨損）,155064389.0,132147178.0,,,,
3,折舊費用,98972867.0,67083741.0,,,,
4,攤銷費用,1927451.0,1470736.0,,,,
5,預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-497.0,1626.0,,,,
6,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,0.0,2883.0,,,,
7,利息費用,772095.0,530564.0,,,,
8,利息收入,-1460904.0,-2989069.0,,,,
9,股利收入,-169167.0,-110509.0,,,,
10,股份基礎給付酬勞成本,1704.0,1410.0,,,,
11,採用權益法認列之關聯企業及合資損失（利益）之份額,-1267112.0,-725968.0,,,,
12,處分及報廢不動產、廠房及設備損失（利益）,-9960.0,-35390.0,,,,
13,處分投資損失（利益）,-2986.0,-179412.0,,,,
14,非金融資產減損損失,274388.0,0.0,,,,
15,未實現銷貨利益（損失）,0.0,7673.0,,,,
16,已實現銷貨損失（利益）,-64211.0,0.0,,,,
17,未實現外幣兌換損失（利益）,-4773733.0,804399.0,,,,
18,其他項目,-127838.0,0.0,,,,
19,收益費損項目合計,94072097.0,65862684.0,,,,
20,強制透過損益按公允價值衡量之金融資產（增加）減少,3929781.0,-1080340.0,,,,
21,應收帳款（增加）減少,-21663073.0,-8595331.0,,,,
22,應收帳款－關係人（增加）減少,222559.0,434182.0,,,,
23,其他應收款－關係人（增加）減少,-1946.0,-8517.0,,,,
24,存貨（增加）減少,-17214161.0,4703362.0,,,,
25,其他流動資產（增加）減少,771765.0,-111469.0,,,,
26,其他金融資產（增加）減少,-2917033.0,2109547.0,,,,
27,與營業活動相關之資產之淨變動合計,-36872108.0,-2548566.0,,,,
28,應付帳款增加（減少）,-2334169.0,-296602.0,,,,
29,應付帳款－關係人增加（減少）,-162728.0,56279.0,,,,
30,其他流動負債增加（減少）,10601332.0,1920752.0,,,,
31,淨確定福利負債增加(減少),-619561.0,-804943.0,,,,
32,其他營業負債增加（減少）,8468539.0,8071239.0,,,,
33,與營業活動相關之負債之淨變動合計,15953413.0,8946725.0,,,,
34,與營業活動相關之資產及負債之淨變動合計,-20918695.0,6398159.0,,,,
35,調整項目合計,73153402.0,72260843.0,,,,
36,營運產生之現金流入（流出）,228217791.0,204408021.0,,,,
37,退還（支付）之所得稅,-402085.0,-1378579.0,,,,
38,營業活動之淨現金流入（流出）,227815706.0,203029442.0,,,,
39,投資活動之現金流量,,,,,,
40,取得透過其他綜合損益按公允價值衡量之金融資產,-77662402.0,-56528394.0,,,,
41,處分透過其他綜合損益按公允價值衡量之金融資產,81167791.0,57185928.0,,,,
42,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,62837.0,0.0,,,,
43,除列避險之金融負債,112133.0,-225847.0,,,,
44,取得不動產、廠房及設備,-248028725.0,-192559626.0,,,,
45,處分不動產、廠房及設備,57901.0,65867.0,,,,
46,存出保證金增加,-47212.0,-69469.0,,,,
47,存出保證金減少,203788.0,339693.0,,,,
48,取得無形資產,-580694.0,-846084.0,,,,
49,其他預付款項增加,-1200000.0,0.0,,,,
50,收取之利息,1494002.0,3038375.0,,,,
51,收取之股利,169167.0,110509.0,,,,
52,其他投資活動,0.0,495780.0,,,,
53,投資活動之淨現金流入（流出）,-244251414.0,-188993268.0,,,,
54,籌資活動之現金流量,,,,,,
55,短期借款增加,52072068.0,20348002.0,,,,
56,應付短期票券增加,0.0,3992197.0,,,,
57,應付短期票券減少,0.0,-1000000.0,,,,
58,發行公司債,21078298.0,23975079.0,,,,
59,償還公司債,-2600000.0,-21600000.0,,,,
60,舉借長期借款,660000.0,0.0,,,,
61,存入保證金增加,91458.0,17203.0,,,,
62,存入保證金減少,-4107.0,-3638.0,,,,
63,租賃本金償還,-532552.0,-683072.0,,,,
64,發放現金股利,-64825951.0,-64825951.0,,,,
65,處分子公司股權（未喪失控制力）,9451798.0,0.0,,,,
66,支付之利息,-772710.0,-977231.0,,,,
67,非控制權益變動,155.0,0.0,,,,
68,籌資活動之淨現金流入（流出）,14618457.0,-40757411.0,,,,
69,匯率變動對現金及約當現金之影響,6374461.0,2099130.0,,,,
70,本期現金及約當現金增加（減少）數,4557210.0,-24622107.0,,,,
71,期初現金及約當現金餘額,660170647.0,455399336.0,,,,
72,期末現金及約當現金餘額,664727857.0,430777229.0,,,,
73,資產負債表帳列之現金及約當現金,664727857.0,430777229.0,,,,
